app,est,h,beta,se,lo,hi
RR_UNEMP,DB,3,0.2471458598306555,0.0479859539499894,0.1530933900886761,0.3411983295726349
RR_UNEMP,DB,4,0.2927342755451017,0.0663480249297815,0.1626921466827299,0.4227764044074735
RR_UNEMP,DB,5,0.2988404669178492,0.078543251113838,0.1448956947347267,0.4527852391009717
RR_UNEMP,DB,6,0.3011301539690277,0.0767066284584947,0.150785162190378,0.4514751457476773
RR_UNEMP,DB,7,0.3039962828175608,0.069055657789542,0.1686471935500585,0.4393453720850631
RR_UNEMP,DB,8,0.2788693704444592,0.0704589308212275,0.1407698660348531,0.4169688748540653
RR_UNEMP,DB,9,0.2488517020361942,0.0709349385378324,0.1098192225020426,0.3878841815703459
RR_UNEMP,DB,10,0.1921184620880666,0.0657662659962843,0.0632165807353494,0.3210203434407839
RR_UNEMP,CDOLS,0,-0.0,0.0,-0.0,0.0
RR_UNEMP,CDOLS,1,0.1007018441199327,0.0227712210327713,0.056070250895701,0.1453334373441645
RR_UNEMP,CDOLS,2,0.1591146790113049,0.0416634527800658,0.0774543115623759,0.240775046460234
RR_UNEMP,CDOLS,3,0.1852347904174213,0.0571439621108259,0.0732326246802025,0.2972369561546402
RR_UNEMP,CDOLS,4,0.1898347028504595,0.0698165104256832,0.0529943424161204,0.3266750632847988
RR_UNEMP,CDOLS,5,0.1828931696364638,0.0799068635047021,0.0262757171672476,0.3395106221056799
RR_UNEMP,CDOLS,6,0.1724301361375479,0.0873632371696996,0.0011981912849366,0.3436620809901594
RR_UNEMP,CDOLS,7,0.1855933935544211,0.103239548575853,-0.0167561216542509,0.3879429087630931
RR_UNEMP,CDOLS,8,0.1854427489359364,0.1146194166923566,-0.0392113077810825,0.4100968056529555
RR_UNEMP,CDOLS,9,0.1694482628291546,0.1177137378209998,-0.0612706633000051,0.4001671889583145
RR_UNEMP,CDOLS,10,0.1379297548843006,0.1113929528652556,-0.0804004327316004,0.3562599425002016
BVX,FE,1,-2.6458995478818146,0.5399251346114019,-3.7041528117201614,-1.5876462840434669
BVX,FE,2,-2.8876725588402423,0.8555788719477785,-4.564607147857888,-1.2107379698225966
BVX,FE,3,-3.379288257739824,1.0013803087921784,-5.341993662972493,-1.4165828525071538
BVX,FE,4,-3.421739514046299,1.1454499462997831,-5.666821408793874,-1.176657619298724
BVX,FE,5,-2.737894516226933,1.347485464467856,-5.378966026583932,-0.0968230058699357
BVX,FE,6,-2.123194641517174,1.5571827269328855,-5.17527278630563,0.9288835032712824
BVX,SPJ,1,-2.8506264125924403,0.58221935995242,-3.991776358099184,-1.709476467085697
