est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode,het_rho,het_beta
HPJ,1,0.0151622402397396,0.0554608211459691,0.0448815523492225,0.7366666666666667,0.7866666666666666,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,2,0.0214957943627091,0.0604585547532959,0.0480582872242897,0.6833333333333333,0.2833333333333333,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,3,0.017885067011698,0.0624597555399846,0.049748030080668,0.6966666666666667,0.3066666666666666,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,4,0.0175164377329906,0.0614308394386227,0.0471987970218612,0.7133333333333334,0.29,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,5,0.0204762756536562,0.0637311013535008,0.0509606255645535,0.7066666666666667,0.2933333333333333,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,6,0.0161709538302579,0.0626064312077693,0.0489806135282467,0.68,0.32,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,7,0.0134828690992346,0.0581020708200765,0.0443404159507814,0.76,0.24,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,8,0.0198829570396209,0.0620171164618618,0.0486520686840349,0.7033333333333334,0.2966666666666667,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,9,0.0158385243479919,0.0676248235711148,0.0537140511270407,0.7066666666666667,0.2933333333333333,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
HPJ,10,0.0188793204732729,0.0722432965994333,0.0548509711191301,0.6833333333333333,0.3166666666666666,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,0,-0.0010450933323448,0.0275393581562238,0.0217046785339628,0.6133333333333333,1.0,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,1,-0.0034935585622452,0.0458346168176593,0.0353037193696273,0.84,0.9133333333333332,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,2,-0.0002491012975735,0.0500609733412622,0.0383467996588883,0.8333333333333334,0.2166666666666666,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,3,-0.001367944333029,0.0515670172993819,0.0391793922606144,0.8166666666666667,0.19,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,4,0.0011569880571738,0.0510128897659441,0.0397593908923629,0.83,0.1733333333333333,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,5,0.0039651693107369,0.0553314352085511,0.0445204648362033,0.7833333333333333,0.2166666666666666,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,6,0.0035036161742286,0.0542160746933243,0.0429370246957645,0.7766666666666666,0.2233333333333333,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,7,0.0017637214976814,0.0527989089792069,0.04146738165059,0.83,0.17,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,8,0.0043010814371923,0.0521769711246127,0.0410634418833917,0.8166666666666667,0.1833333333333333,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
