app,h,D_h,fe,spj,hpj,db,cdols,argmax
MSV,2,0.5937773076539761,0.2581637244742891,0.2540440842504384,0.5800014294942762,0.2581637244742891,-0.0137758781596998,HPJ
MSV,3,0.7066949208834317,0.2186805958084556,0.2052582817238708,0.69018960198167,0.2186805958084556,-0.0165053189017616,HPJ
MSV,4,0.6399972530782326,0.0204980906477888,0.013651018813231,0.6232284277433953,0.0204980906477888,-0.0167688253348374,HPJ
MSV,5,0.254441665355681,-0.1565287155689119,-0.1916409473076988,0.0628007180479822,-0.1565287155689119,-0.0156509822741816,SPJ
MSV,6,0.3952305583268768,-0.3103160185156729,-0.4094384351189383,-0.2913190814936047,-0.3103160185156729,-0.0142078767920615,SPJ
MSV,7,0.5451762361468516,-0.3870785517214023,-0.5576984938495485,-0.4388360395972033,-0.3870785517214023,-0.0125222577026969,SPJ
MSV,8,0.6325759010889369,-0.3331623793945377,-0.4900431777682181,-0.642673674203617,-0.3331623793945377,-0.0100977731146801,HPJ
MSV,9,0.43985277116591437,-0.207835256906095,-0.4278278286031152,-0.4496733334592102,-0.207835256906095,-0.0098205622932958,HPJ
MSV,10,0.5474353356527335,-0.2839037996378669,-0.5553020153087391,-0.4906206849458221,-0.2839037996378669,-0.0078666796560056,SPJ
CS,1,1.1476855281001832,-2.588948357954141,-2.61928996488869,-3.736633886054324,-2.588948357954141,,HPJ
CS,2,6.561023505989765,-3.384914897632219,-3.488355877102608,-3.422536004364437,-3.384914897632219,3.072667628887157,SPJ
CS,3,7.940291979472903,-4.202263361829012,-4.787605110262037,-4.094361245305205,-4.202263361829012,3.1526868692108665,SPJ
CS,4,9.23913655223972,-4.543467566477674,-5.484683090185934,-5.923358284232143,-4.543467566477674,3.315778268007577,HPJ
CS,5,9.460514262140178,-4.580893048093387,-6.088340285463952,-4.968398735889782,-4.580893048093387,3.3721739766762258,SPJ
CS,6,10.445341878741564,-5.134319349997094,-7.092022173064607,-4.353257704330071,-5.134319349997094,3.3533197056769573,SPJ
CS,7,10.886166397401176,-4.719690285100985,-7.396198412680886,-4.45852379179338,-4.719690285100985,3.4899679847202902,SPJ
CS,8,11.111867326204546,-4.612537247785937,-7.747235860424666,-3.876824812815686,-4.612537247785937,3.3646314657798797,SPJ
CS,9,10.913972823665162,-4.311073966829269,-7.613270727242443,-4.773899483999532,-4.311073966829269,3.3007020964227185,SPJ
CS,10,11.10771599442504,-4.506567303988432,-7.892619587950866,-5.519437036565847,-4.506567303988432,3.215096406474175,SPJ
