cell,N,T,rho,sig_lam,est,D_I,bias_hmean,coverage_hmean,rmse_hmean,grade
main_N100_T20_rho0.5_xsd0,100,20,0.5,0.0,SPJ,0.04661055939543566,0.033321870492533046,0.7409523809523808,0.06260283006475811,poor
main_N100_T20_rho0.5_xsd1,100,20,0.5,1.0,CDOLS,0.06195780533329296,-0.017622093723015795,0.6061904761904762,0.08063446447696673,poor
main_N100_T20_rho0.5_xsd1,100,20,0.5,1.0,DB,0.061055275081204306,0.024714986033386142,0.6228571428571429,0.08039692402815231,poor
main_N100_T20_rho0.5_xsd1,100,20,0.5,1.0,FE,0.08688795784514916,0.07395629370363213,0.43666666666666665,0.10932514303440814,poor
main_N100_T20_rho0.5_xsd1,100,20,0.5,1.0,HPJ,0.10129220075086452,0.07476993401887357,0.36619047619047623,0.1263577539508433,poor
main_N100_T20_rho0.5_xsd1,100,20,0.5,1.0,SPJ,0.08241171759442853,0.038737325003947,0.5780952380952381,0.11131944317334046,poor
main_N100_T20_rho0.8_xsd0,100,20,0.8,0.0,CDOLS,0.05096109199852904,-0.0421573039158664,0.7938095238095236,0.0631480877687195,poor
main_N100_T20_rho0.8_xsd0,100,20,0.8,0.0,DB,0.07280525248531915,0.06997834978792963,0.36238095238095236,0.08914922749453669,poor
main_N100_T20_rho0.8_xsd0,100,20,0.8,0.0,FE,0.14863647163922641,0.14657056665044724,0.14619047619047618,0.1706611564320193,poor
main_N100_T20_rho0.8_xsd0,100,20,0.8,0.0,HPJ,0.150726541268805,0.14335829124485727,0.1614285714285714,0.18215776857016888,poor
main_N100_T20_rho0.8_xsd0,100,20,0.8,0.0,SPJ,0.08164225425004393,0.06963406187881337,0.5904761904761904,0.11496080798283603,poor
main_N100_T20_rho0.8_xsd1,100,20,0.8,1.0,CDOLS,0.07141195531507498,-0.02229378869577437,0.5852380952380952,0.09565348596825662,poor
main_N100_T20_rho0.8_xsd1,100,20,0.8,1.0,DB,0.10097760305526372,0.08688538031993619,0.3952380952380952,0.14008090510636548,poor
main_N100_T20_rho0.8_xsd1,100,20,0.8,1.0,FE,0.16228269394025685,0.15732053683716002,0.21285714285714288,0.1958863315984497,poor
main_N100_T20_rho0.8_xsd1,100,20,0.8,1.0,HPJ,0.1671555798152319,0.15643890829162718,0.1766666666666667,0.20441431118916717,poor
main_N100_T20_rho0.8_xsd1,100,20,0.8,1.0,SPJ,0.12920047657300932,0.0844095503895476,0.44857142857142857,0.17586620290197594,poor
main_N100_T20_rho0.95_xsd0,100,20,0.95,0.0,CDOLS,0.05943044534461408,-0.05108350931801786,0.7566666666666666,0.07463593906545765,poor
main_N100_T20_rho0.95_xsd0,100,20,0.95,0.0,DB,0.13154081974925755,0.12995412496452094,0.1895238095238095,0.16136972750053932,poor
main_N100_T20_rho0.95_xsd0,100,20,0.95,0.0,FE,0.20695544100064298,0.20539698939956677,0.13428571428571429,0.24391573185195567,poor
main_N100_T20_rho0.95_xsd0,100,20,0.95,0.0,HPJ,0.20754738360037356,0.20303453293964052,0.10761904761904761,0.2524933151986141,poor
main_N100_T20_rho0.95_xsd0,100,20,0.95,0.0,SPJ,0.10088879463546498,0.09175489452584304,0.5528571428571428,0.1449251746450792,poor
main_N100_T20_rho0.95_xsd1,100,20,0.95,1.0,CDOLS,0.08041704883233858,-0.024200209034970856,0.5752380952380952,0.11235847354827816,poor
main_N100_T20_rho0.95_xsd1,100,20,0.95,1.0,DB,0.1618488816366999,0.15961886101758407,0.2414285714285714,0.2254906585036299,poor
