est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode
FE,6,0.0003190135008178,0.0577647205750089,0.0460392866278691,0.9111111111111112,0.0888888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,0,-0.0156775964054804,0.1340328850038715,0.1058042685274465,0.5044444444444445,0.4955555555555556,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,1,-0.0093108613809107,0.1330976281288683,0.1068023016831198,0.4644444444444444,0.5355555555555556,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,2,-0.0046415869998552,0.1351608096053324,0.1073492468045735,0.52,0.48,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,3,-0.0079399891533844,0.1434496139301123,0.1160791907219575,0.4711111111111111,0.5288888888888889,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,4,0.0034491249084307,0.1497766679891176,0.1203499726578339,0.4577777777777778,0.5422222222222223,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,5,-0.0063321982388654,0.1549938631717892,0.1236577520321629,0.48,0.52,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
HPJ,6,-0.0054745420740581,0.1684759183308017,0.1360690295990005,0.4288888888888889,0.5711111111111111,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
SPJ,0,-0.0011241527722354,0.0524304819374865,0.0411651212563473,0.9333333333333332,0.0666666666666666,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
SPJ,1,0.0001243247314837,0.0520478188295394,0.0416818242836536,0.9511111111111112,0.0488888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
SPJ,2,-0.0035938069891469,0.0550243995353616,0.0430030099231284,0.9444444444444444,0.0555555555555555,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
