est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,het_rho,het_beta
CDOLS,0,0.0021289801462579,0.0203588552285196,0.0162236034238129,0.9433333333333334,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,1,-0.0706161595632593,0.078052898525234,0.0714502828396857,0.11,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,2,-0.1039168825705968,0.1094244484562069,0.1039168825705968,0.0166666666666666,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,3,-0.1201551692933328,0.1253231260300531,0.1201551692933328,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,4,-0.13168810553008,0.1367934325248824,0.13168810553008,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,5,-0.1401497726894061,0.1452964446303978,0.1401497726894061,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,6,-0.1471970713285376,0.1523927767262094,0.1471970713285376,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,7,-0.1524971767512655,0.1577403353914254,0.1524971767512655,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,8,-0.1579339971024691,0.1635499019840591,0.1579339971024691,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,9,-0.1590217182231695,0.1649960095392016,0.1590217182231695,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,10,-0.165506916605237,0.1714132022568594,0.165506916605237,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,0,1.3174266259335192e-05,0.0026728163765938,0.002064480803451,0.84,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,1,-0.1511291489434396,0.1518205078333894,0.1511291489434396,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,2,-0.1942449053696003,0.1952426093482133,0.1942449053696003,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,3,-0.2102956182866089,0.211665150648449,0.2102956182866089,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,4,-0.2159860164140683,0.2178107847439053,0.2159860164140683,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,5,-0.2165322756119213,0.2188749424951939,0.2165322756119213,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,6,-0.2141774107245975,0.2170958498380586,0.2141774107245975,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,7,-0.20979094934721,0.2134648942555182,0.20979094934721,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,8,-0.204135697275531,0.2085611746105164,0.204135697275531,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,9,-0.1976300670935406,0.2028165116086635,0.1976300670935406,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
DB,10,-0.1909376804520484,0.1970893863134649,0.1909376804520484,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,0,1.3174266259335192e-05,0.0026728163765938,0.002064480803451,0.84,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,1,-0.1413965823943145,0.1421273014777433,0.1413965823943145,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,2,-0.1755350161661045,0.1766119854345807,0.1755350161661045,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,3,-0.1833081103257245,0.1848190332232205,0.1833081103257245,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,4,-0.1813699633441249,0.1834292043309308,0.1813699633441249,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,5,-0.1748906211366295,0.1775993632047182,0.1748906211366295,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,6,-0.1660710979533946,0.1695439941687586,0.1660710979533946,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,7,-0.1557427142052445,0.1602529417638707,0.1557427142052445,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,8,-0.144633557855334,0.1502523476968956,0.144633557855334,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,9,-0.1331305380130336,0.139962488586395,0.1331305380130336,0.0066666666666666,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
FE,10,-0.1218687387505967,0.1303069014495632,0.1218687387505967,0.02,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,0,-8.614694293446523e-05,0.0083370176249689,0.0067004516602179,0.3433333333333333,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,1,-0.1420848237429696,0.1436580347891566,0.1420848237429696,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,2,-0.1765337391693447,0.1789159016200513,0.1765337391693447,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,3,-0.1845672964256672,0.1879835183539588,0.1845672964256672,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,4,-0.1832057386396737,0.1878018549085746,0.1832057386396737,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,5,-0.1774520795316567,0.1834730088104032,0.1774520795316567,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,6,-0.1691691307810296,0.1767381951600467,0.1691691307810296,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,7,-0.1589226569590054,0.1686405711652542,0.1589226569590054,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,8,-0.1484772046445796,0.1603649608228951,0.1484969342680922,0.02,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,9,-0.1372304941031129,0.1515713415647811,0.1376841567360007,0.0366666666666666,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
HPJ,10,-0.1263232699085761,0.1434405007050216,0.1275523175553877,0.0633333333333333,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,0,-0.000125530019317,0.0028515681509127,0.0022154182984808,0.96,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,1,-0.182544752222449,0.1835086311489364,0.182544752222449,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,2,-0.2400912470367137,0.241603489480234,0.2400912470367137,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,3,-0.2659888285858243,0.268105133430365,0.2659888285858243,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,4,-0.2786096711224304,0.2813833724328741,0.2786096711224304,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,5,-0.2846454367959704,0.288109734433429,0.2846454367959704,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,6,-0.2866894221406945,0.2909693519192546,0.2866894221406945,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,7,-0.285698370671166,0.2908428439045279,0.285698370671166,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,8,-0.2827215697115592,0.2889172958646157,0.2827215697115592,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,9,-0.2782871460054707,0.2856018967959411,0.2782871460054707,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
SPJ,10,-0.2725912182948959,0.2811665429234886,0.2725912182948959,0.0,1.0,300,hetrho_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,1,0
CDOLS,0,0.0041083776324733,0.0383646323637108,0.0298256918288367,0.9866666666666668,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,1,-0.0168622447675282,0.043870490823857,0.035134999568781,0.9566666666666668,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,2,-0.0280743784659621,0.0497090796476754,0.0400728812268997,0.8966666666666666,0.9866666666666668,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,3,-0.0354362631138982,0.0563734511275108,0.0463490792823437,0.8766666666666667,0.7233333333333334,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,4,-0.0348091055169213,0.0565811935385206,0.0461148827951204,0.8566666666666667,0.3833333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
