ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1896,0.049592942,0.12384299,0.13974345,0.16129225,0.22854277,0.19904599,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.083047085,-0.0087977583,0.011115559,-0.035635512,,,,
724,1897,0.07425005,0.090150513,0.11169933,0.17894983,0.14945304,0.15408805,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.049592942,-0.083047085,-0.0087977583,0.011115559,,,,
724,1898,0.015900463,0.037449278,0.10469979,0.075203009,0.079838008,0.076508775,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07425005,0.049592942,-0.083047085,-0.0087977583,,,,
724,1899,0.021548813,0.088799328,0.059302546,0.063937545,0.060608309,0.046591435,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015900463,0.07425005,0.049592942,-0.083047085,,,,
724,1900,0.067250513,0.037753731,0.042388733,0.039059497,0.025042623,0.075364999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.021548813,0.015900463,0.07425005,0.049592942,,,,
724,1901,-0.029496782,-0.024861779,-0.028191015,-0.042207889,0.0081144869,0.039089501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.067250513,0.021548813,0.015900463,0.07425005,0.002939,,,
724,1902,0.0046350025,0.0013057673,-0.012711107,0.037611268,0.068586282,0.10704029,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029496782,0.067250513,0.021548813,0.015900463,0.0051970002,0.002939,,
724,1903,-0.0033292351,-0.01734611,0.032976266,0.063951284,0.10240529,0.11965668,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046350025,-0.029496782,0.067250513,0.021548813,-0.00154,0.0051970002,0.002939,
724,1904,-0.014016874,0.036305502,0.067280516,0.10573452,0.12298591,0.08735688,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033292351,0.0046350025,-0.029496782,0.067250513,-0.001682,-0.00154,0.0051970002,0.002939
724,1908,0.017251395,-0.018377643,0.050886232,0.043320242,0.08311443,,0,0,,,,0.0,0.0,0.0,0.038454004,0.030975014,0.050322376,-0.014016874,0.0038099999,-0.00033800001,0.001874,0.003547
